text,intent
"มหาวิทยาลัยมีกี่คณะ?","general_question"
"วิสัยทัศน์ของสถาบันเทคโนโลยีจิตรลดาคืออะไร?","general_question"
"ปรัชญาของสถาบันเทคโนโลยีจิตรลดาคือข้อใด?","general_question"
"ข้อใดไม่ได้อยู่ในหัวข้อความเป็นจิตรลดา?","general_question"
"สถาบันเทคโนโลยีจิตรลดาเริ่มต้นจากอะไร?","general_question"
"โรงเรียนจิตรลดาก่อตั้งขึ้นในปี พ.ศ. ใด?","general_question"
"สถาบันเทคโนโลยีจิตรลดาเปลี่ยนสถานะเป็นสถาบันอุดมศึกษาในกำกับของรัฐเมื่อใด?","general_question"
"สีประจำสถาบันเทคโนโลยีจิตรลดาคือสีใด?","general_question"
"ต้นไม้ประจำสถาบันเทคโนโลยีจิตรลดาคือต้นใด?","general_question"
"สีแสดเป็นสีประจำคณะใด?","general_question"
"สถานที่ตั้งของสถาบันเทคโนโลยีจิตรลดาอยู่ในบริเวณใด?","general_question"
"ทิศใต้ของสถาบันเทคโนโลยีจิตรลดาคือสถานที่ใด?","general_question"
"อาคารหลักของสถาบันเทคโนโลยีจิตรลดาคืออาคารใด?","general_question"
"รถโดยสารประจำทางสายใดที่ผ่านถนนศรีอยุธยา?","general_question"
"สถาบันให้ความสำคัญกับอะไรในชีวิตนักศึกษา?","general_question"
"ประวัติการก่อตั้งของสถาบันเทคโนโลยีจิตรลดาคืออะไร?","general_question"
"ใครคือผู้ก่อตั้งสถาบันเทคโนโลยีจิตรลดา?","general_question"
"สถาบันเทคโนโลยีจิตรลดามีพันธกิจอะไรบ้าง?","general_question"
"คณะทั้งหมดของสถาบันเทคโนโลยีจิตรลดามีอะไรบ้าง?","general_question"
"ค่าเทอมของแต่ละคณะอยู่ในช่วงเท่าไร?","general_question"
"ชื่อเต็มของมหาวิทยาลัยในภาษาอังกฤษคืออะไร?","general_question"
"สถาบันเทคโนโลยีจิตรลดามีวิชาบังคับอะไรบ้าง?","general_question"
"ใครคืออธิการบดีคนปัจจุบันของสถาบันเทคโนโลยีจิตรลดา?","general_question"
"การเรียนการสอนของสถาบันเทคโนโลยีจิตรลดาเน้นไปที่อะไร?","general_question"
"คณะบริหารธุรกิจมีวิชาเลือกอะไรบ้าง?","general_question"
"จุดเด่นของสถาบันเทคโนโลยีจิตรลดาคืออะไร?","general_question"
"มหาวิทยาลัยรับสมัครนักศึกษาใหม่ช่วงไหน?","general_question"
"สามารถติดต่อฝ่ายทะเบียนได้ที่ไหน?","general_question"
"คณะวิศวกรรมศาสตร์เปิดสอนกี่สาขาวิชา?","general_question"
"ใครคือประธานสภามหาวิทยาลัย?","general_question"
"สถานที่สำหรับจอดรถนักศึกษาคือบริเวณใด?","general_question"
"ห้องสมุดเปิดให้บริการเวลาใด?","general_question"
"เราสามารถสมัครขอทุนการศึกษาได้ที่ไหน?","general_question"
"หอพักนักศึกษาของสถาบันอยู่ที่ไหน?","general_question"
"การเดินทางด้วยรถไฟฟ้า BTS มาที่มหาวิทยาลัยต้องลงสถานีอะไร?","general_question"
"มหาวิทยาลัยมีบริการรถรับส่งหรือไม่?","general_question"
"อาคารเรียนรวมอยู่บริเวณใดของสถาบัน?","general_question"
"ศูนย์อาหารตั้งอยู่ที่ไหนในมหาวิทยาลัย?","general_question"
"คณะวิทยาศาสตร์มีการวิจัยในด้านใดบ้าง?","general_question"
"มีทุนการศึกษาประเภทใดบ้าง?","general_question"
"สถานที่สำหรับจัดกิจกรรมกีฬาอยู่บริเวณใด?","general_question"
"มหาวิทยาลัยมีบริการอินเทอร์เน็ตให้กับนักศึกษาหรือไม่?","general_question"
"เราสามารถขอรับคำปรึกษาเกี่ยวกับการเลือกสาขาวิชาได้ที่ไหน?","general_question"
"วันนี้มีอาจารย์ท่านไหนอยู่ที่มหาวิทยาลัยบ้าง?","general_question"
"เกรดเท่าไหร่ถึงได้เกียรตินิยมอันดับ 1","general_question"
"ช่องทางการติดต่ออาจารย์ในสาขา ทุกช่องทาง","general_question"
"อยากลาต้องแจ้งอาจารย์ผ่านอีเมลไหมคะ","general_question"
"ร้านอาหารในสถาบันอยู่ตรงส่วนไหนบ้างครับ","general_question"
"ฉันสามารถขอคำปรึกษาด้านอาชีพหรือการฝึกงานได้ที่ไหน?","general_question"
"มหาวิทยาลัยมีทั้งหมดกี่คณะ?","general_question"
"วิสัยทัศน์หลักของสถาบันเทคโนโลยีจิตรลดาคืออะไร?","general_question"
"จุดเริ่มต้นของสถาบันเทคโนโลยีจิตรลดามาจากอะไร?","general_question"
"สีประจำสถาบันคือสีอะไร?","general_question"
"ต้นไม้ที่เป็นสัญลักษณ์ของสถาบันเทคโนโลยีจิตรลดาคืออะไร?","general_question"
"สีแสดเป็นตัวแทนของคณะอะไร?","general_question"
"ที่ตั้งของสถาบันเทคโนโลยีจิตรลดาอยู่ส่วนไหนของเมือง?","general_question"
"สถาบันให้ความสำคัญกับอะไรในชีวิตของนักศึกษามากที่สุด?","general_question"
"อาคารหลักที่ใช้สำหรับจัดการเรียนการสอนของสถาบันคืออาคารอะไร?","general_question"
"การเดินทางโดยรถประจำทางมาที่มหาวิทยาลัยมีสายไหนบ้าง?","general_question"
"เมื่อปีการศึกษา 2565 มีนักศึกษาชั้นปีที่ 3 จำนวนเท่าใด?","general_question"
"ปีการศึกษานี้ 2567 มีนักศึกษารวมทั้งสิ้นกี่คน?","general_question"
"ใครเป็นผู้ริเริ่มก่อตั้งสถาบันเทคโนโลยีจิตรลดา?","general_question"
"พันธกิจหลักของสถาบันเทคโนโลยีจิตรลดาคืออะไรบ้าง?","general_question"
"ค่าเล่าเรียนของแต่ละคณะอยู่ที่ประมาณเท่าไหร่?","general_question"
"หลักสูตรบังคับในสถาบันเทคโนโลยีจิตรลดามีอะไรบ้าง?","general_question"
"ใครดำรงตำแหน่งอธิการบดีของสถาบันในปัจจุบัน?","general_question"
"การเรียนในสถาบันเทคโนโลยีจิตรลดามีเป้าหมายอะไร?","general_question"
"คณะบริหารธุรกิจเปิดสอนวิชาเลือกอะไรที่น่าสนใจบ้าง?","general_question"
"มหาวิทยาลัยเปิดรับสมัครนักศึกษาใหม่ช่วงใด?","general_question"
"ถ้าต้องการติดต่อฝ่ายทะเบียนควรไปที่ไหน?","general_question"
"คณะวิศวกรรมศาสตร์มีสาขาวิชาอะไรบ้าง?","general_question"
"ที่จอดรถของนักศึกษาอยู่บริเวณไหนในมหาวิทยาลัย?","general_question"
"ห้องสมุดของสถาบันเปิดทำการในเวลาใด?","general_question"
"หอพักสำหรับนักศึกษาของสถาบันตั้งอยู่ที่ไหน?","general_question"
"ถ้าเดินทางมามหาวิทยาลัยด้วยรถไฟฟ้า BTS ควรลงที่สถานีใด?","general_question"
"มหาวิทยาลัยมีบริการรถรับส่งนักศึกษาหรือไม่?","general_question"
"อาคารเรียนรวมของมหาวิทยาลัยอยู่บริเวณไหน?","general_question"
"ศูนย์อาหารของมหาวิทยาลัยตั้งอยู่ในส่วนไหนของสถาบัน?","general_question"
"คณะวิทยาศาสตร์มีโครงการวิจัยเกี่ยวกับอะไรบ้าง?","general_question"
"สถานที่จัดกิจกรรมกีฬาของมหาวิทยาลัยอยู่ส่วนใด?","general_question"
"มหาวิทยาลัยมีการให้บริการอินเทอร์เน็ตไร้สายแก่นักศึกษาหรือไม่?","general_question"
"ถ้านักศึกษาต้องการคำปรึกษาเกี่ยวกับการเลือกสาขาวิชา ควรติดต่อที่ใคร?","general_question"
"จุดเด่นหลักของสถาบันเทคโนโลยีจิตรลดาที่นักศึกษาให้ความสนใจคืออะไร?","general_question"
"ถ้าต้องการส่งคำถามถึงอาจารย์ประจำวิชา ควรใช้ช่องทางใด?","general_question"
"กิจกรรมที่ช่วยพัฒนาทักษะการทำงานของนักศึกษาในสถาบันมีอะไรบ้าง?","general_question"
"ฉันสามารถสมัครขอทุนสนับสนุนด้านการศึกษาได้ที่ไหน?","general_question"
"หากต้องการติดต่อประธานสภามหาวิทยาลัย ต้องทำอย่างไร?","general_question"
"กิจกรรมที่จัดเพื่อส่งเสริมการเรียนรู้นอกห้องเรียนมีอะไรบ้าง?","general_question"
"ฉันจะทราบข้อมูลเพิ่มเติมเกี่ยวกับคณะของมหาวิทยาลัยได้จากที่ใด?","general_question"
"โครงสร้างหลักสูตรการเรียนการสอนของมหาวิทยาลัยเป็นอย่างไร?","general_question"
"วันเปิดเทอมคือวันไหน?","academic_calendar"
"เราสามารถถอนรายวิชา(W) ได้ช่วงไหนบ้าง?","academic_calendar"
"ถ้าหวงเวลาสอบชนกันจะต้องเเก้อย่างไง?","academic_calendar"
"ถ้าตารางเรียนชนกันจะต้องแก้ที่ไหน?","academic_calendar"
"เทอมนี้จะมีรายวิชาของสาขาอะไรเปิดให้ลงทะเบียนได้บ้าง?","academic_calendar"
"เทอมนี้จะมีรายวิชาของ Gen Ed อะไรเปิดให้ลงทะเบียนได้บ้าง?","academic_calendar"
"ได้ผลการเรียน“IP” ต้องแก้อย่างไง?","academic_calendar"
"ช่วยบอกช่วงวันที่สามารถลดรายวิชาให้หน่อย?","academic_calendar"
"เราจะรู้คะแนนสอบวันไหน?","academic_calendar"
"ถ้าต้องการยื่นขอสำเร็จการศึกษาสามารถยื่นได้ช่วงไหนบ้าง?","academic_calendar"
"เทอมนี้สอบกลางภาควันที่เท่าไร?","academic_calendar"
"เทอมนี้สอบปลายภาคช่วงเดือนอะไร?","academic_calendar"
"นักเรียนเก่าสามารถลงทะเบียนได้วันไหน?","academic_calendar"
"นักเรียนใหม่สามารถลงทะเบียนได้วันไหน?","academic_calendar"
"ช่วงเวลาใดที่อนุญาตให้นักศึกษาเพิ่มรายวิชาหลังจากเปิดเรียนไปแล้ว?","academic_calendar"
"วันสุดท้ายที่จะยืนแก้ I คือวันไหน?","academic_calendar"
"วันปิดเทอมภาคเรียนนี้คือวันไหน?","academic_calendar"
"วันกำหนดชำระค่าเทอมภาคเรียนหน้าคือเมื่อไหร่?","academic_calendar"
"เราสามารถเพิ่มรายวิชาได้ช่วงไหน?","academic_calendar"
"ขั้นตอนการลงทะเบียนเรียนของนักศึกษาปีที่ 1 คืออะไร?","academic_calendar"
"วันปฐมนิเทศนักศึกษาปีนี้คือวันไหน?","academic_calendar"
"การลงทะเบียนขอแก้เกรดสามารถทำได้เมื่อไหร่?","academic_calendar"
"ช่วงที่สามารถแก้ไขตารางเรียนได้คือช่วงไหน?","academic_calendar"
"ถ้าลงทะเบียนล่าช้าต้องเสียค่าปรับเท่าไร?","academic_calendar"
"กำหนดการสอบกลางภาคเทอมหน้าเริ่มวันไหน?","academic_calendar"
"วันสุดท้ายของการเรียนภาคเรียนนี้คือวันใด?","academic_calendar"
"ช่วงเปิดรับสมัครนักศึกษาใหม่ภาคเรียนที่ 1 คือช่วงไหน?","academic_calendar"
"กำหนดการส่งวิทยานิพนธ์ต้องส่งวันไหน?","academic_calendar"
"วันสุดท้ายของการลงทะเบียนเพิ่มคือวันใด?","academic_calendar"
"สามารถถอนรายวิชาโดยไม่ติดเกรด F ได้ถึงวันไหน?","academic_calendar"
"ช่วงปิดรับสมัครนักศึกษาใหม่ภาคเรียนที่ 2 คือเมื่อไหร่?","academic_calendar"
"กำหนดชำระค่าธรรมเนียมการศึกษาเทอมหน้าอยู่ในช่วงไหน?","academic_calendar"
"นักศึกษาที่ไม่ลงทะเบียนในเวลาที่กำหนดต้องเสียค่าปรับเท่าไหร่?","academic_calendar"
"ช่วงเวลาในการลงทะเบียนรายวิชาสำหรับนักศึกษาชั้นปีที่ 3 คือช่วงใด?","academic_calendar"
"วันหยุดในช่วงเทศกาลปีใหม่คือวันใดบ้าง?","academic_calendar"
"มหาวิทยาลัยจะจัดสอบกลางภาคในช่วงไหน?","academic_calendar"
"ช่วงลงทะเบียนรายวิชาเทอมหน้าเริ่มวันที่เท่าไร?","academic_calendar"
"การแก้ไขผลการเรียน I ต้องดำเนินการภายในกี่วัน?","academic_calendar"
"การขอสำเร็จการศึกษาสามารถยื่นเอกสารได้ในช่วงใด?","academic_calendar"
"วันสุดท้ายของการส่งโครงงานวิจัยคือเมื่อไหร่?","academic_calendar"
"ต้องการแก้ไขการลงทะเบียนเรียนจะต้องทำภายในวันไหน?","academic_calendar"
"การลงทะเบียนเพิ่ม/ถอนรายวิชาทำได้ช่วงไหน?","academic_calendar"
"ถ้าลงทะเบียนเรียนผิดรายวิชา จะสามารถเปลี่ยนวิชาได้เมื่อไร?","academic_calendar"
"กำหนดการสอบปลายภาคภาคเรียนนี้เริ่มวันไหน?","academic_calendar"
"สำหรับนักศึกษาเกียรตินิยม มีขั้นตอนการลงทะเบียนพิเศษอย่างไรบ้าง?","academic_calendar"
"หากต้องการขอทุนการศึกษา ต้องยื่นเอกสารภายในวันที่เท่าไหร่?","academic_calendar"
"กำหนดการอบรมก่อนเปิดภาคเรียนสำหรับนักศึกษาใหม่มีวันไหนบ้าง?","academic_calendar"
"วันประกาศผลการเรียนประจำภาคเรียนคือวันไหน?","academic_calendar"
"นักศึกษาแลกเปลี่ยนสามารถลงทะเบียนได้ช่วงไหน?","academic_calendar"
"ระยะเวลาในการส่งเกรด I ของอาจารย์มีกำหนดกี่วัน?","academic_calendar"
"มีวันหยุดพิเศษอะไรบ้างในช่วงภาคเรียนนี้?","academic_calendar"
"กำหนดการประชุมผู้ปกครองประจำปีจัดขึ้นวันไหน?","academic_calendar"
"การยื่นคำร้องขอผ่อนผันค่าเทอมสามารถทำได้เมื่อไหร่?","academic_calendar"
"วันสุดท้ายของการขอโอนย้ายหลักสูตรคือวันใด?","academic_calendar"
"มีการจัดกิจกรรมปฐมนิเทศสำหรับนักศึกษาบัณฑิตศึกษาหรือไม่?","academic_calendar"
"กำหนดการสอบวัดระดับภาษาอังกฤษประจำภาคเรียนเป็นอย่างไร?","academic_calendar"
"นักศึกษาพิเศษมีกำหนดการลงทะเบียนแตกต่างจากนักศึกษาปกติอย่างไร?","academic_calendar"
"วันสุดท้ายของการยื่นคำร้องขอรีเกรดคือเมื่อไหร่?","academic_calendar"
"กำหนดการสำหรับนักศึกษาที่ต้องการลงทะเบียนเรียนล่วงหน้ามีอย่างไร?","academic_calendar"
"มีวันนัดพบผู้ปกครองและอาจารย์ที่ปรึกษาหรือไม่?","academic_calendar"
"กำหนดการอบรมเตรียมความพร้อมก่อนสำเร็จการศึกษาเป็นอย่างไร?","academic_calendar"
"วันสุดท้ายของการสมัครสหกิจศึกษาคือวันใด?","academic_calendar"
"มีการจัดกิจกรรมแนะแนวอาชีพสำหรับนักศึกษาชั้นปีสุดท้ายเมื่อไหร่?","academic_calendar"
"วันปฐมนิเทศนักศึกษาฝึกงานประจำภาคเรียนคือวันไหน?","academic_calendar"
"การยื่นคำร้องขอเทียบโอนหน่วยกิตทำได้ช่วงไหน?","academic_calendar"
"มีกำหนดการอบรมทักษะวิชาชีพเสริมสำหรับนักศึกษาหรือไม่?","academic_calendar"
"วันสุดท้ายของการยื่นคำร้องจบการศึกษาโดยไม่นับหน่วยกิตคือเมื่อไหร่?","academic_calendar"
"กำหนดการสอบวิทยานิพนธ์ของบัณฑิตศึกษาเป็นอย่างไร?","academic_calendar"
"มีการจัดกิจกรรมแลกเปลี่ยนทางวิชาการระหว่างคณะหรือไม่?","academic_calendar"
"วันสุดท้ายของการต่ออายุรหัสนักศึกษาคือวันใด?","academic_calendar"
"วันเปิดภาคการศึกษาปีการศึกษา 2567 นี้เป็นวันใด?","academic_calendar"
"นักศึกษาจะสามารถถอนรายวิชาโดยไม่ได้รับผลการเรียน (W) ได้ในช่วงเวลาใด?","academic_calendar"
"หากตารางสอบของหนูชนกัน จะต้องดำเนินการแก้ไขอย่างไร?","academic_calendar"
"ผมจะสามารถตรวจสอบผลการเรียนของตนเองได้เมื่อไหร่?","academic_calendar"
"กระบวนการยื่นขอสำเร็จการศึกษาสามารถดำเนินการได้ในช่วงใด?","academic_calendar"
"วันสุดท้ายของการลงทะเบียนรายวิชาปีการศึกษา 2567 นี้คือวันใด?","academic_calendar"
"นักศึกษาใหม่สามารถลงทะเบียนรายวิชาได้ในช่วงวันใด?","academic_calendar"
"ปฏิทินการศึกษาปี 2567 นี้ มีวันหยุดพิเศษหรือเทศกาลใดบ้าง?","academic_calendar"
"หากได้รับผลการเรียน I นักศึกษาจะต้องดำเนินการแก้ไขภายในกี่วัน?","academic_calendar"
"กำหนดการสอบกลางภาคปีการศึกษานี้จะเริ่มในช่วงเดือนใด?","academic_calendar"
"วันสุดท้ายของการลงทะเบียนเพิ่ม-ถอนรายวิชาคือวันที่เท่าใด?","academic_calendar"
"นักศึกษาที่ลงทะเบียนล่าช้ากว่ากำหนดจะต้องเสียค่าปรับเป็นจำนวนเท่าใด?","academic_calendar"
"การลงทะเบียนรายวิชาของนักศึกษาชั้นปีที่ 3 จะเริ่มในช่วงไหน?","academic_calendar"
"กำหนดการสอบปลายภาคประจำภาคการศึกษานี้จะอยู่ในช่วงเดือนใด?","academic_calendar"
"วันสุดท้ายของการยื่นคำร้องขอแก้ไข I คือวันที่เท่าใด?","academic_calendar"
"วันปิดภาคการศึกษาปี 2567 จะตรงกับวันที่เท่าไร?","academic_calendar"
"กำหนดการชำระค่าธรรมเนียมการศึกษาสำหรับภาคการศึกษาถัดไปจะอยู่ในช่วงใด?","academic_calendar"
"ขั้นตอนการลงทะเบียนสำหรับนักศึกษาชั้นปีที่ 1 มีอย่างไรบ้าง?","academic_calendar"
"วันปฐมนิเทศนักศึกษาใหม่จะจัดขึ้นในวันที่เท่าใด?","academic_calendar"
"กำหนดการสอบประมวลความรู้สำหรับนักศึกษาระดับบัณฑิตศึกษาเป็นอย่างไร?","academic_calendar"
"เปิดภาคการศึกษาใหม่นี้จะเริ่มเมื่อไหร่?","academic_calendar"
"ฉันจะสามารถถอนรายวิชาโดยไม่ติด W ได้ในช่วงเวลาใด?","academic_calendar"
"ถ้าตารางสอบของฉันมีความขัดแย้ง จะแก้ไขอย่างไร?","academic_calendar"
"ฉันจะตรวจสอบผลการเรียนได้เมื่อไหร่?","academic_calendar"
"ถ้าฉันต้องการสำเร็จการศึกษา ต้องดำเนินการยื่นขอเมื่อไร?","academic_calendar"
"วันสุดท้ายของการลงทะเบียนรายวิชาในปีนี้คือวันใด?","academic_calendar"
"ในฐานะนักศึกษาใหม่ ฉันจะลงทะเบียนรายวิชาได้ในช่วงเวลาใด?","academic_calendar"
"ถ้าฉันได้รับเกรด I จะต้องดำเนินการแก้ไขภายในกี่วัน?","academic_calendar"
"วันสุดท้ายที่ฉันสามารถเพิ่ม-ถอนรายวิชาคือวันที่เท่าไร?","academic_calendar"
"ถ้าฉันลงทะเบียนล่าช้า จะต้องเสียค่าปรับเป็นจำนวนเท่าใด?","academic_calendar"
"วันปิดภาคการศึกษาในปีนี้จะตรงกับวันที่เท่าไร?","academic_calendar"
"วันปฐมนิเทศนักศึกษาใหม่จะจัดขึ้นในวันที่เท่าไร?","academic_calendar"
"ช่วงเวลาที่เปิดให้เพิ่มรายวิชาหลังจากเริ่มเรียนคือเมื่อไหร่?","academic_calendar"
"สามารถลงทะเบียนเรียนวิชาใหม่หลังวันไหนไม่ได้?","academic_calendar"
"กิจกรรมสัปดาห์หน้ามีอะไรบ้าง?","student_activities"
"กิจกรรม assembly สัปดาห์นี้คือหัวข้ออะไร?","student_activities"
"assembly หัวข้อ ในหลวง ใครเป็นผู้บรรยาย?","student_activities"
"ปีนี้จะมีการจัดกิจกรรม assembly กี่ครั้ง?","student_activities"
"กิจกรรม assembly สัปดาห์หน้าจะจัดวันที่เท่าไร?","student_activities"
"พรุ่งนี้จะมีบรรยายในหัวข้ออะไร?","student_activities"
"วิทยากรที่จะมาบรรยายในหัวข้อ saving the world คือใคร?","student_activities"
"ถ้าจะลาไม่เข้ากิจกรรมต้องติดต่อที่พี่คนไหน?","student_activities"
"เราจะต้องไปลงทะเบียนเข้าร่วมกิจกรรมที่ไหน?","student_activities"
"ช่วยบอกกำหนดการ assembly สัปดาห์นี้มาให้หน่อยว่าจะพูดอะไรบ้าง?","student_activities"
"ใครคือคนที่รับผิดชอบบรรยายในครั้งนี้?","student_activities"
"คณะของเราจะมีจัดบรรยายอีกไหม?","student_activities"
"วิทยากรที่คณะเชิณมาพูดให้ฟังสัปดาห์นี้คือใคร?","student_activities"
"วันพฤหัสบดีนี้จะมีกิจกรรมอะไรอีกไหม? ","student_activities"
"กิจกรรมที่คณะเป็นผู้จัดมีอะไรบ้าง?","student_activities"
"จะมีกิจกรรมจิตอาสาอะไรบ้างในเดือนนี้?","student_activities"
"กิจกรรมในช่วงเช้าวันศุกร์นี้มีอะไรบ้าง?","student_activities"
"งานประกวดโครงการนวัตกรรมจะจัดขึ้นที่ไหน?","student_activities"
"งานแข่งขันกีฬาภายในปีนี้จัดขึ้นในวันไหน?","student_activities"
"วิทยากรที่จะมาพูดเรื่องการบริหารเวลาในเดือนนี้คือใคร?","student_activities"
"กิจกรรมช่วยเหลือชุมชนครั้งต่อไปจัดขึ้นที่ไหน?","student_activities"
"สามารถลา Assembly ได้กี่ครั้ง","student_activities"
"หัวข้อ assembly เดือนหน้าคืออะไร?","student_activities"
"กิจกรรมสัปดาห์หน้าต้องลงทะเบียนล่วงหน้าหรือไม่?","student_activities"
"ถ้าไม่เข้าร่วมกิจกรรม assembly จะมีผลกระทบอะไรบ้าง?","student_activities"
"กิจกรรมอบรมทักษะพิเศษมีอะไรบ้างในเทอมนี้?","student_activities"
"assembly หัวข้ออนาคตเทคโนโลยี AI จะจัดเมื่อไหร่?","student_activities"
"กิจกรรมประกวดโครงการวิจัยจะจัดขึ้นในวันไหน?","student_activities"
"assembly ครั้งต่อไปจะจัดที่ห้องใด?","student_activities"
"เราสามารถเข้าร่วมกิจกรรมค่ายจิตอาสาได้อย่างไร?","student_activities"
"หัวข้อการบรรยายใน assembly สัปดาห์นี้คืออะไร?","student_activities"
"ใครจะเป็นวิทยากรใน assembly ครั้งหน้า?","student_activities"
"กิจกรรมค่ายอาสาที่จะจัดในปีนี้มีอะไรบ้าง?","student_activities"
"ถ้าไม่สามารถเข้าร่วม assembly ได้ ต้องแจ้งใคร?","student_activities"
"กิจกรรมรับน้องในปีนี้จัดขึ้นเมื่อไหร่?","student_activities"
"หัวข้อการพูดในกิจกรรม assembly สัปดาห์หน้าคืออะไร?","student_activities"
